ip,mac,flag
10.64.18.121,00:01:a4:ab:9c:c5,perm_remote
10.64.18.123,00:01:a4:ab:9a:14,perm_remote
10.64.18.124,00:01:a4:ab:9c:c7,none
10.64.18.126,00:01:a4:ab:90:e5,perm_remote
10.64.18.127,00:01:a4:ab:91:78,none
10.64.18.129,00:01:a4:ab:9a:15,perm_remote
10.64.18.130,00:1a:4a:56:03:4d,none
10.64.18.132,00:1a:4a:56:b0:f8,perm_remote
10.64.18.133,00:01:a4:ab:99:a8,perm_remote
10.64.18.134,00:01:a4:ab:91:76,perm_remote
10.64.18.135,00:01:a4:ab:91:58,perm_remote
10.64.18.136,00:01:a4:ab:91:6d,perm_remote
10.64.18.137,00:01:a4:ab:99:b0,perm_remote
10.64.18.138,00:01:a4:ab:09:14,perm_remote
10.64.18.139,00:01:a4:ab:91:59,perm_remote
10.64.18.142,00:1a:4a:56:02:6a,none
10.64.18.143,00:01:a4:ab:91:77,none
10.64.18.144,00:01:a4:ab:9a:6a,perm_remote
10.64.18.145,00:01:a4:ab:90:d5,none
10.64.18.146,00:1a:4a:56:5c:4c,perm_remote
10.64.18.147,00:1a:4a:56:01:d0,perm_remote
10.64.18.148,00:01:a4:ab:94:a5,perm_remote
10.64.18.149,00:1a:4a:56:03:4e,none
10.64.18.150,00:01:a4:ab:8d:5f,perm_remote
10.64.18.151,00:01:a4:ab:93:01,perm_remote
10.64.18.152,00:01:a4:ab:8d:5e,none
10.64.18.155,00:01:a4:ab:90:d8,perm_remote
10.64.18.156,00:01:a4:ab:09:62,perm_remote
10.64.18.157,00:01:a4:ab:99:ef,perm_remote
10.64.18.158,00:1a:4a:56:01:d1,none
10.64.18.159,00:01:a4:ab:90:e7,perm_remote
10.64.18.160,00:1a:4a:56:03:53,perm_remote
10.64.18.161,00:01:a4:ab:9a:1d,none
10.64.18.162,00:1a:4a:56:5c:4a,perm_remote
10.64.18.163,00:01:a4:ab:9a:1f,perm_remote
10.64.18.164,00:01:a4:ab:9c:70,perm_remote
10.64.18.165,00:1a:4a:56:02:6b,perm_remote
10.64.18.166,00:01:a4:ab:93:82,perm_remote
10.64.18.167,00:01:a4:ab:8d:34,perm_remote
10.64.18.168,00:01:a4:ab:98:e2,none
10.64.18.169,00:01:a4:ab:90:f6,none
10.64.18.170,00:01:a4:ab:9c:75,none
10.64.18.171,00:1a:4a:56:e1:7a,perm_remote
10.64.18.172,00:01:a4:ab:90:f7,perm_remote
10.64.18.173,00:01:a4:ab:9c:14,perm_remote
10.64.18.174,00:01:a4:ab:90:f9,none
10.64.18.175,00:01:a4:ab:8c:f0,none
10.64.18.176,00:01:a4:ab:90:fe,none
10.64.18.177,00:01:a4:ab:90:2b,none
10.64.18.178,00:01:a4:ab:94:f7,none
10.64.18.179,00:1a:4a:56:01:d2,none
10.64.18.180,00:01:a4:ab:9a:7e,none
10.64.18.181,00:01:a4:ab:99:4f,none
10.64.18.182,00:01:a4:ab:14:11,perm_remote
10.64.18.183,00:01:a4:ab:96:16,perm_remote
10.64.18.184,00:01:a4:ab:8d:af,none
10.64.18.185,00:01:a4:ab:99:57,none
10.64.18.186,00:01:a4:ab:96:14,perm_remote
10.64.18.187,00:1a:4a:56:e8:77,perm_remote
10.64.18.188,00:01:a4:ab:9a:93,none
10.64.18.189,00:01:a4:ab:8d:93,none
10.64.18.190,00:1a:4a:56:e1:86,none
10.64.18.191,00:01:a4:ab:98:05,perm_remote
10.64.18.192,00:1a:4a:56:e8:6b,perm_remote
10.64.18.193,00:01:a4:ab:9a:92,perm_remote
10.64.18.194,00:1a:4a:56:43:bb,none
10.64.18.195,00:01:a4:ab:98:04,perm_remote
10.64.18.196,00:01:a4:ab:9a:95,none
10.64.18.197,00:1a:4a:56:ea:fc,perm_remote
10.64.18.198,00:1a:4a:56:e1:81,none
10.64.18.199,00:01:a4:ab:9a:94,perm_remote
10.64.18.200,00:1a:4a:56:e2:95,perm_remote
10.64.18.201,00:01:a4:ab:99:c4,perm_remote
10.64.18.202,00:1a:4a:56:a4:44,perm_remote
10.64.18.203,00:01:a4:ab:98:01,perm_remote
10.64.18.204,00:01:a4:ab:8d:99,perm_remote
10.64.18.205,00:1a:4a:56:03:57,perm_remote
10.64.18.206,00:01:a4:ab:9a:96,perm_remote
10.64.18.208,00:01:a4:ab:98:00,none
10.64.18.209,00:1a:4a:56:e8:19,perm_remote
10.64.18.210,00:01:a4:ab:98:39,perm_remote
10.64.18.211,00:1a:4a:56:e8:0b,none
10.64.18.212,00:01:a4:ab:9a:78,none
10.64.18.213,00:01:a4:ab:14:05,perm_remote
10.64.18.214,00:01:a4:ab:8d:6a,none
